Lookup ID,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges
8-10015351,"",0,0,0,"",0,"",0,"",0
8-10015352,"",0,0,0,"",0,"",0,"",0
8-10015353,"",0,0,0,"",0,"",0,"",0
8-10015354,"",0,0,0,"",0,"",0,"",0
8-10015355,"",0,0,0,"",0,"",0,"",0
8-10015356,"",0,0,0,"",0,"",0,"",0
8-10015357,"",0,0,0,"",0,"",0,"",0
8-10015358,"",0,0,0,"",0,"",0,"",0
8-10015359,"",0,0,0,"",0,"",0,"",0
8-10015360,"",0,0,0,"",0,"",0,"",0
8-10015361,"",0,0,0,"",0,"",0,"",0
8-10015362,"",0,0,0,"",0,"",0,"",0
8-10015363,"",0,0,0,"",0,"",0,"",0
8-10015364,"",0,0,0,"",0,"",0,"",0
8-10015366,"",0,0,0,"",0,"",0,"",0
8-10015368,"",0,0,0,"",0,"",0,"",0
8-10015369,"",0,0,0,"",0,"",0,"",0
8-10015370,"",0,0,0,"",0,"",0,"",0
8-10015371,"",0,0,0,"",0,"",0,"",0
8-10015372,"",0,0,0,"",0,"",0,"",0
8-10015373,"",0,0,0,"",0,"",0,"",0
8-10015374,"",0,0,0,"",0,"",0,"",0
8-10015375,"",0,0,0,"",0,"",0,"",0
8-10015376,"",0,0,0,"",0,"",0,"",0
8-10015377,8-10001937,0,0,0,"",0,"",0,"",0
8-10015378,8-10001937,0,0,0,"",0,"",0,"",0
8-10015380,"",0,0,0,"",0,"",0,"",0
8-10015381,"",0,0,0,"",0,"",0,"",0
8-10015382,"",0,0,0,"",0,"",0,"",0
8-10015383,"",0,0,0,"",0,"",0,"",0
8-10015384,"",0,0,0,"",0,"",0,"",0
8-10015385,"",0,0,0,"",0,"",0,"",0
8-10015386,"",0,0,0,"",0,"",0,"",0
8-10015387,"",0,0,0,"",0,"",0,"",0
8-10015388,"",0,0,0,"",0,"",0,"",0
8-10015389,"",0,0,0,"",0,"",0,"",0
8-10015390,"",0,0,0,"",0,"",0,"",0
8-10015391,"",0,0,0,"",0,"",0,"",0
8-10015392,"",0,0,0,"",0,"",0,"",0
8-10015393,"",0,0,0,"",0,"",0,"",0
8-10015394,"",0,0,0,"",0,"",0,"",0
8-10015395,"",0,0,0,"",0,"",0,"",0
8-10015396,"",0,0,0,"",0,"",0,"",0
8-10015397,"",0,0,0,"",0,"",0,"",0
8-10015398,"",0,0,0,"",0,"",0,"",0
8-10015399,"",0,0,0,"",0,"",0,"",0
8-10015400,"",0,0,0,"",0,"",0,"",0
8-10015401,"",0,0,0,"",0,"",0,"",0
8-10015402,"",0,0,0,"",0,"",0,"",0
8-10015403,"",0,0,0,"",0,"",0,"",0
8-10015404,"",0,0,0,"",0,"",0,"",0
8-10015405,"",0,0,0,"",0,"",0,"",0
8-10015406,"",0,0,0,"",0,"",0,"",0
8-10015407,"",0,0,0,"",0,"",0,"",0
8-10015408,"",0,0,0,"",0,"",0,"",0
8-10015409,"",0,0,0,"",0,"",0,"",0
8-10015410,"",0,0,0,"",0,"",0,"",0
8-10015411,"",0,0,0,"",0,"",0,"",0
8-10015413,8-10002137,0,0,0,"",0,"",0,"",0
8-10015414,"",0,0,0,"",0,"",0,"",0
8-10015415,"",0,0,0,"",0,"",0,"",0
8-10015416,"",0,0,0,"",0,"",0,"",0
8-10015417,"",0,0,0,"",0,"",0,"",0
8-10015418,"",0,0,0,"",0,"",0,"",0
8-10015419,"",0,0,0,"",0,"",0,"",0
8-10015420,"",0,0,0,"",0,"",0,"",0
8-10015421,"",0,0,0,"",0,"",0,"",0
8-10015422,"",0,0,0,"",0,"",0,"",0
8-10015423,"",0,0,0,"",0,"",0,"",0
8-10015426,"",0,0,0,"",0,"",0,"",0
8-10015427,"",0,0,0,"",0,"",0,"",0
8-10015428,"",0,0,0,"",0,"",0,"",0
8-10015429,"",0,0,0,"",0,"",0,"",0
8-10015430,"",0,0,0,"",0,"",0,"",0
8-10015432,"",0,0,0,"",0,"",0,"",0
8-10015433,"",0,0,0,"",0,"",0,"",0
8-10015434,"",0,0,0,"",0,"",0,"",0
8-10015436,"",0,0,0,"",0,"",0,"",0
8-10015437,"",0,0,0,"",0,"",0,"",0
8-10015438,"",0,0,0,"",0,"",0,"",0
8-10015439,"",0,0,0,"",0,"",0,"",0
8-10015440,"",0,0,0,"",0,"",0,"",0
8-10015441,"",0,0,0,"",0,"",0,"",0
8-10015442,"",0,0,0,"",0,"",0,"",0
8-10015443,"",0,0,0,"",0,"",0,"",0
8-10015444,"",0,0,0,"",0,"",0,"",0
8-10015445,"",0,0,0,"",0,"",0,"",0
8-10015446,"",0,0,0,"",0,"",0,"",0
8-10015447,"",0,0,0,"",0,"",0,"",0
8-10015448,"",0,0,0,"",0,"",0,"",0
8-10015449,"",0,0,0,"",0,"",0,"",0
8-10015451,"",0,0,0,"",0,"",0,"",0
8-10015453,"",0,0,0,"",0,"",0,"",0
8-10015454,"",0,0,0,"",0,"",0,"",0
8-10015457,"",0,0,0,"",0,"",0,"",0
8-10015458,"",0,0,0,"",0,"",0,"",0
8-10015459,"",0,0,0,"",0,"",0,"",0
8-10015460,"",0,0,0,"",0,"",0,"",0
8-10015461,"",0,0,0,"",0,"",0,"",0
8-10015462,"",0,0,0,"",0,"",0,"",0
8-10015463,"",0,0,0,"",0,"",0,"",0
8-10015465,"",0,0,0,"",0,"",0,"",0
8-10015466,"",0,0,0,"",0,"",0,"",0
8-10015467,"",0,0,0,"",0,"",0,"",0
8-10015469,"",0,0,0,"",0,"",0,"",0
8-10015470,"",0,0,0,"",0,"",0,"",0
8-10015471,"",0,0,0,"",0,"",0,"",0
8-10015472,"",0,0,0,"",0,"",0,"",0
8-10015473,"",0,0,0,"",0,"",0,"",0
8-10015474,"",0,0,0,"",0,"",0,"",0
8-10015475,"",0,0,0,"",0,"",0,"",0
8-10015476,"",0,0,0,"",0,"",0,"",0
8-10015477,"",0,0,0,"",0,"",0,"",0
8-10015478,8-10001962,0,0,0,"",0,"",0,"",0
8-10015479,8-10001962,0,0,0,"",0,"",0,"",0
8-10015481,"",0,0,0,"",0,"",0,"",0
8-10015482,"",0,0,0,"",0,"",0,"",0
8-10015483,"",0,0,0,"",0,"",0,"",0
8-10015484,"",0,0,0,"",0,"",0,"",0
8-10015485,"",0,0,0,"",0,"",0,"",0
8-10015486,"",0,0,0,"",0,"",0,"",0
8-10015488,"",0,0,0,"",0,"",0,"",0
8-10015489,"",0,0,0,"",0,"",0,"",0
8-10015491,"",0,0,0,"",0,"",0,"",0
8-10015492,"",0,0,0,"",0,"",0,"",0
8-10015493,"",0,0,0,"",0,"",0,"",0
8-10015494,"",0,0,0,"",0,"",0,"",0
8-10015495,"",0,0,0,"",0,"",0,"",0
8-10015496,"",0,0,0,"",0,"",0,"",0
8-10015498,"",0,0,0,"",0,"",0,"",0
8-10015499,"",0,0,0,"",0,"",0,"",0
8-10015500,"",0,0,0,"",0,"",0,"",0
8-10015501,"",0,0,0,"",0,"",0,"",0
8-10015502,"",0,0,0,"",0,"",0,"",0
8-10015503,"",0,0,0,"",0,"",0,"",0
8-10015504,"",0,0,0,"",0,"",0,"",0
8-10015505,"",0,0,0,"",0,"",0,"",0
8-10015506,8-10001938,0,0,0,"",0,"",0,"",0
8-10015507,"",0,0,0,"",0,"",0,"",0
8-10015509,8-10001938,0,0,0,"",0,"",0,"",0
8-10015511,"",0,0,0,"",0,"",0,"",0
8-10015512,"",0,0,0,"",0,"",0,"",0
8-10015513,"",0,0,0,"",0,"",0,"",0
8-10015514,"",0,0,0,"",0,"",0,"",0
8-10015515,"",0,0,0,"",0,"",0,"",0
8-10015516,8-10001939,0,0,0,"",0,"",0,"",0
8-10015517,8-10001939,0,0,0,"",0,"",0,"",0
8-10015518,"",0,0,0,"",0,"",0,"",0
8-10015519,"",0,0,0,"",0,"",0,"",0
8-10015520,"",0,0,0,"",0,"",0,"",0
8-10015521,"",0,0,0,"",0,"",0,"",0
8-10015522,"",0,0,0,"",0,"",0,"",0
8-10015523,"",0,0,0,"",0,"",0,"",0
8-10015524,"",0,0,0,"",0,"",0,"",0
8-10015525,"",0,0,0,"",0,"",0,"",0
8-10015526,"",0,0,0,"",0,"",0,"",0
8-10015527,"",0,0,0,"",0,"",0,"",0
8-10015528,"",0,0,0,"",0,"",0,"",0
8-10015530,"",0,0,0,"",0,"",0,"",0
8-10015531,"",0,0,0,"",0,"",0,"",0
8-10015532,"",0,0,0,"",0,"",0,"",0
8-10015533,"",0,0,0,"",0,"",0,"",0
8-10015534,"",0,0,0,"",0,"",0,"",0
8-10015535,"",0,0,0,"",0,"",0,"",0
8-10015536,"",0,0,0,"",0,"",0,"",0
8-10015537,"",0,0,0,"",0,"",0,"",0
8-10015538,"",0,0,0,"",0,"",0,"",0
8-10015539,"",0,0,0,"",0,"",0,"",0
8-10015540,"",0,0,0,"",0,"",0,"",0
8-10015541,"",0,0,0,"",0,"",0,"",0
8-10015542,"",0,0,0,"",0,"",0,"",0
8-10015543,"",0,0,0,"",0,"",0,"",0
8-10015544,8-10001940,0,0,0,"",0,"",0,"",0
8-10015545,"",0,0,0,"",0,"",0,"",0
8-10015546,"",0,0,0,"",0,"",0,"",0
8-10015547,"",0,0,0,"",0,"",0,"",0
8-10015548,"",0,0,0,"",0,"",0,"",0
8-10015549,"",0,0,0,"",0,"",0,"",0
8-10015550,"",0,0,0,"",0,"",0,"",0
8-10015551,"",0,0,0,"",0,"",0,"",0
8-10015552,"",0,0,0,"",0,"",0,"",0
8-10015553,"",0,0,0,"",0,"",0,"",0
8-10015554,"",0,0,0,"",0,"",0,"",0
8-10015555,8-10001940,0,0,0,"",0,"",0,"",0
8-10015557,8-10001941,0,0,0,"",0,"",0,"",0
8-10015558,"",0,0,0,"",0,"",0,"",0
8-10015559,"",0,0,0,"",0,"",0,"",0
8-10015560,8-10001941,0,0,0,"",0,"",0,"",0
8-10015562,"",0,0,0,"",0,"",0,"",0
8-10015563,8-10002017,0,0,0,"",0,"",0,"",0
8-10015564,"",0,0,0,"",0,"",0,"",0
8-10015565,"",0,0,0,"",0,"",0,"",0
8-10015566,"",0,0,0,"",0,"",0,"",0
8-10015567,"",0,0,0,"",0,"",0,"",0
8-10015568,"",0,0,0,"",0,"",0,"",0
8-10015569,"",0,0,0,"",0,"",0,"",0
8-10015570,"",0,0,0,"",0,"",0,"",0
8-10015571,"",0,0,0,"",0,"",0,"",0
8-10015572,"",0,0,0,"",0,"",0,"",0
8-10015573,"",0,0,0,"",0,"",0,"",0
8-10015574,"",0,0,0,"",0,"",0,"",0
8-10015575,8-10001942,0,0,0,"",0,"",0,"",0
8-10015577,"",0,0,0,"",0,"",0,"",0
8-10015578,"",0,0,0,"",0,"",0,"",0
8-10015579,"",0,0,0,"",0,"",0,"",0
8-10015580,"",0,0,0,"",0,"",0,"",0
8-10015581,"",0,0,0,"",0,"",0,"",0
8-10015582,"",0,0,0,"",0,"",0,"",0
8-10015583,"",0,0,0,"",0,"",0,"",0
8-10015584,"",0,0,0,"",0,"",0,"",0
8-10015585,"",0,0,0,"",0,"",0,"",0
8-10015586,"",0,0,0,"",0,"",0,"",0
8-10015587,"",0,0,0,"",0,"",0,"",0
8-10015588,"",0,0,0,"",0,"",0,"",0
8-10015589,"",0,0,0,"",0,"",0,"",0
8-10015590,"",0,0,0,"",0,"",0,"",0
8-10015591,"",0,0,0,"",0,"",0,"",0
8-10015592,"",0,0,0,"",0,"",0,"",0
8-10015593,"",0,0,0,"",0,"",0,"",0
8-10015594,"",0,0,0,"",0,"",0,"",0
8-10015595,"",0,0,0,"",0,"",0,"",0
8-10015596,8-10001943,0,0,0,"",0,"",0,"",0
8-10015598,"",0,0,0,"",0,"",0,"",0
8-10015599,"",0,0,0,"",0,"",0,"",0
8-10015600,"",0,0,0,"",0,"",0,"",0
8-10015601,"",0,0,0,"",0,"",0,"",0
8-10015602,"",0,0,0,"",0,"",0,"",0
8-10015603,"",0,0,0,"",0,"",0,"",0
8-10015604,"",0,0,0,"",0,"",0,"",0
8-10015605,"",0,0,0,"",0,"",0,"",0
8-10015606,"",0,0,0,"",0,"",0,"",0
8-10015607,"",0,0,0,"",0,"",0,"",0
8-10015608,8-10001951,0,0,0,"",0,"",0,"",0
8-10015609,"",0,0,0,"",0,"",0,"",0
8-10015610,"",0,0,0,"",0,"",0,"",0
8-10015611,"",0,0,0,"",0,"",0,"",0
8-10015612,"",0,0,0,"",0,"",0,"",0
8-10015613,"",0,0,0,"",0,"",0,"",0
8-10015614,"",0,0,0,"",0,"",0,"",0
8-10015615,"",0,0,0,"",0,"",0,"",0
8-10015617,"",0,0,0,"",0,"",0,"",0
8-10015618,"",0,0,0,"",0,"",0,"",0
8-10015619,"",0,0,0,"",0,"",0,"",0
8-10015620,"",0,0,0,"",0,"",0,"",0
8-10015621,"",0,0,0,"",0,"",0,"",0
8-10015622,"",0,0,0,"",0,"",0,"",0
8-10015623,"",0,0,0,"",0,"",0,"",0
8-10015624,"",0,0,0,"",0,"",0,"",0
8-10015625,"",0,0,0,"",0,"",0,"",0
8-10015627,"",0,0,0,"",0,"",0,"",0
8-10015628,"",0,0,0,"",0,"",0,"",0
8-10015629,"",0,0,0,"",0,"",0,"",0
8-10015630,"",0,0,0,"",0,"",0,"",0
8-10015631,"",0,0,0,"",0,"",0,"",0
8-10015632,"",0,0,0,"",0,"",0,"",0
8-10015633,"",0,0,0,"",0,"",0,"",0
8-10015634,"",0,0,0,"",0,"",0,"",0
8-10015635,"",0,0,0,"",0,"",0,"",0
8-10015636,"",0,0,0,"",0,"",0,"",0
8-10015637,"",0,0,0,"",0,"",0,"",0
8-10015638,"",0,0,0,"",0,"",0,"",0
8-10015639,"",0,0,0,"",0,"",0,"",0
8-10015640,"",0,0,0,"",0,"",0,"",0
8-10015641,"",0,0,0,"",0,"",0,"",0
8-10015642,"",0,0,0,"",0,"",0,"",0
8-10015643,"",0,0,0,"",0,"",0,"",0
8-10015645,8-10001944,0,0,0,"",0,"",0,"",0
8-10015647,"",0,0,0,"",0,"",0,"",0
8-10015648,"",0,0,0,"",0,"",0,"",0
8-10015649,"",0,0,0,"",0,"",0,"",0
8-10015650,"",0,0,0,"",0,"",0,"",0
8-10015651,"",0,0,0,"",0,"",0,"",0
8-10015652,"",0,0,0,"",0,"",0,"",0
8-10015653,"",0,0,0,"",0,"",0,"",0
8-10015654,"",0,0,0,"",0,"",0,"",0
8-10015655,"",0,0,0,"",0,"",0,"",0
8-10015656,"",0,0,0,"",0,"",0,"",0
8-10015658,"",0,0,0,"",0,"",0,"",0
8-10015660,"",0,0,0,"",0,"",0,"",0
8-10015661,"",0,0,0,"",0,"",0,"",0
8-10015662,"",0,0,0,"",0,"",0,"",0
8-10015663,"",0,0,0,"",0,"",0,"",0
8-10015664,"",0,0,0,"",0,"",0,"",0
8-10015665,"",0,0,0,"",0,"",0,"",0
8-10015666,"",0,0,0,"",0,"",0,"",0
8-10015667,"",0,0,0,"",0,"",0,"",0
8-10015668,"",0,0,0,"",0,"",0,"",0
8-10015669,"",0,0,0,"",0,"",0,"",0
8-10015670,"",0,0,0,"",0,"",0,"",0
8-10015671,"",0,0,0,"",0,"",0,"",0
8-10015672,"",0,0,0,"",0,"",0,"",0
8-10015673,"",0,0,0,"",0,"",0,"",0
8-10015674,"",0,0,0,"",0,"",0,"",0
8-10015675,"",0,0,0,"",0,"",0,"",0
8-10015676,"",0,0,0,"",0,"",0,"",0
8-10015677,"",0,0,0,"",0,"",0,"",0
8-10015678,"",0,0,0,"",0,"",0,"",0
8-10015679,"",0,0,0,"",0,"",0,"",0
8-10015680,"",0,0,0,"",0,"",0,"",0
8-10015682,"",0,0,0,"",0,"",0,"",0
8-10015683,"",0,0,0,"",0,"",0,"",0
8-10015684,"",0,0,0,"",0,"",0,"",0
8-10015687,"",0,0,0,"",0,"",0,"",0
8-10015688,"",0,0,0,"",0,"",0,"",0
8-10015689,"",0,0,0,"",0,"",0,"",0
8-10015690,"",0,0,0,"",0,"",0,"",0
8-10015691,"",0,0,0,"",0,"",0,"",0
8-10015692,"",0,0,0,"",0,"",0,"",0
8-10015693,"",0,0,0,"",0,"",0,"",0
8-10015694,"",0,0,0,"",0,"",0,"",0
8-10015695,"",0,0,0,"",0,"",0,"",0
8-10015696,"",0,0,0,"",0,"",0,"",0
8-10015697,"",0,0,0,"",0,"",0,"",0
8-10015698,"",0,0,0,"",0,"",0,"",0
8-10015699,"",0,0,0,"",0,"",0,"",0
8-10015700,8-10003336,0,0,0,"",0,"",0,"",0
8-10015701,"",0,0,0,"",0,"",0,"",0
8-10015702,"",0,0,0,"",0,"",0,"",0
8-10015703,"",0,0,0,"",0,"",0,"",0
8-10015704,"",0,0,0,"",0,"",0,"",0
8-10015705,"",0,0,0,"",0,"",0,"",0
8-10015706,"",0,0,0,"",0,"",0,"",0
8-10015707,"",0,0,0,"",0,"",0,"",0
8-10015708,"",0,0,0,"",0,"",0,"",0
8-10015709,"",0,0,0,"",0,"",0,"",0
8-10015710,"",0,0,0,"",0,"",0,"",0
8-10015711,"",0,0,0,"",0,"",0,"",0
8-10015712,"",0,0,0,"",0,"",0,"",0
8-10015713,"",0,0,0,"",0,"",0,"",0
8-10015714,"",0,0,0,"",0,"",0,"",0
8-10015715,"",0,0,0,"",0,"",0,"",0
8-10015716,"",0,0,0,"",0,"",0,"",0
8-10015717,"",0,0,0,"",0,"",0,"",0
8-10015718,"",0,0,0,"",0,"",0,"",0
8-10015719,"",0,0,0,"",0,"",0,"",0
8-10015720,"",0,0,0,"",0,"",0,"",0
8-10015721,"",0,0,0,"",0,"",0,"",0
8-10015722,"",0,0,0,"",0,"",0,"",0
8-10015724,"",0,0,0,"",0,"",0,"",0
8-10015725,"",0,0,0,"",0,"",0,"",0
8-10015726,"",0,0,0,"",0,"",0,"",0
8-10015727,"",0,0,0,"",0,"",0,"",0
8-10015728,8-10001945,0,0,0,"",0,"",0,"",0
8-10015729,"",0,0,0,"",0,"",0,"",0
8-10015730,"",0,0,0,"",0,"",0,"",0
8-10015732,"",0,0,0,"",0,"",0,"",0
8-10015733,8-10001945,0,0,0,"",0,"",0,"",0
8-10015735,"",0,0,0,"",0,"",0,"",0
8-10015736,"",0,0,0,"",0,"",0,"",0
8-10015737,"",0,0,0,"",0,"",0,"",0
8-10015738,8-10001946,0,0,0,"",0,"",0,"",0
8-10015739,8-10001946,0,0,0,"",0,"",0,"",0
8-10015740,"",0,0,0,"",0,"",0,"",0
8-10015741,"",0,0,0,"",0,"",0,"",0
8-10015742,"",0,0,0,"",0,"",0,"",0
8-10015743,"",0,0,0,"",0,"",0,"",0
8-10015744,"",0,0,0,"",0,"",0,"",0
8-10015745,"",0,0,0,"",0,"",0,"",0
8-10015746,"",0,0,0,"",0,"",0,"",0
8-10015747,"",0,0,0,"",0,"",0,"",0
8-10015748,"",0,0,0,"",0,"",0,"",0
8-10015749,8-10001947,0,0,0,"",0,"",0,"",0
8-10015750,8-10001948,0,0,0,"",0,"",0,"",0
8-10015751,"",0,0,0,"",0,"",0,"",0
8-10015752,"",0,0,0,"",0,"",0,"",0
8-10015753,"",0,0,0,"",0,"",0,"",0
8-10015754,"",0,0,0,"",0,"",0,"",0
8-10015755,"",0,0,0,"",0,"",0,"",0
8-10015756,"",0,0,0,"",0,"",0,"",0
8-10015757,"",0,0,0,"",0,"",0,"",0
8-10015758,"",0,0,0,"",0,"",0,"",0
8-10015759,"",0,0,0,"",0,"",0,"",0
8-10015760,"",0,0,0,"",0,"",0,"",0
8-10015761,"",0,0,0,"",0,"",0,"",0
8-10015762,"",0,0,0,"",0,"",0,"",0
8-10015763,8-10001947,0,0,0,"",0,"",0,"",0
8-10015765,"",0,0,0,"",0,"",0,"",0
8-10015766,"",0,0,0,"",0,"",0,"",0
8-10015767,"",0,0,0,"",0,"",0,"",0
8-10015768,"",0,0,0,"",0,"",0,"",0
8-10015769,"",0,0,0,"",0,"",0,"",0
8-10015770,"",0,0,0,"",0,"",0,"",0
8-10015771,"",0,0,0,"",0,"",0,"",0
8-10015772,"",0,0,0,"",0,"",0,"",0
8-10015773,"",0,0,0,"",0,"",0,"",0
8-10015774,"",0,0,0,"",0,"",0,"",0
8-10015775,8-10001948,0,0,0,"",0,"",0,"",0
8-10015777,"",0,0,0,"",0,"",0,"",0
8-10015778,"",0,0,0,"",0,"",0,"",0
8-10015779,"",0,0,0,"",0,"",0,"",0
8-10015780,"",0,0,0,"",0,"",0,"",0
8-10015781,8-10001949,0,0,0,"",0,"",0,"",0
8-10015782,"",0,0,0,"",0,"",0,"",0
8-10015783,8-10001949,0,0,0,"",0,"",0,"",0
8-10015784,"",0,0,0,"",0,"",0,"",0
8-10015785,"",0,0,0,"",0,"",0,"",0
8-10015786,"",0,0,0,"",0,"",0,"",0
8-10015787,"",0,0,0,"",0,"",0,"",0
8-10015789,"",0,0,0,"",0,"",0,"",0
8-10015790,"",0,0,0,"",0,"",0,"",0
8-10015791,"",0,0,0,"",0,"",0,"",0
8-10015792,"",0,0,0,"",0,"",0,"",0
8-10015794,"",0,0,0,"",0,"",0,"",0
8-10015795,"",0,0,0,"",0,"",0,"",0
8-10015796,"",0,0,0,"",0,"",0,"",0
8-10015797,"",0,0,0,"",0,"",0,"",0
8-10015798,"",0,0,0,"",0,"",0,"",0
8-10015799,"",0,0,0,"",0,"",0,"",0
8-10015800,"",0,0,0,"",0,"",0,"",0
8-10015801,"",0,0,0,"",0,"",0,"",0
8-10015802,"",0,0,0,"",0,"",0,"",0
8-10015803,"",0,0,0,"",0,"",0,"",0
8-10015804,8-10001950,0,0,0,"",0,"",0,"",0
8-10015806,"",0,0,0,"",0,"",0,"",0
8-10015807,"",0,0,0,"",0,"",0,"",0
8-10015808,"",0,0,0,"",0,"",0,"",0
8-10015809,"",0,0,0,"",0,"",0,"",0
8-10015810,"",0,0,0,"",0,"",0,"",0
8-10015811,"",0,0,0,"",0,"",0,"",0
8-10015812,"",0,0,0,"",0,"",0,"",0
8-10015813,"",0,0,0,"",0,"",0,"",0
8-10015814,"",0,0,0,"",0,"",0,"",0
8-10015815,"",0,0,0,"",0,"",0,"",0
8-10015816,"",0,0,0,"",0,"",0,"",0
8-10015817,"",0,0,0,"",0,"",0,"",0
8-10015818,"",0,0,0,"",0,"",0,"",0
8-10015819,"",0,0,0,"",0,"",0,"",0
8-10015820,"",0,0,0,"",0,"",0,"",0
8-10015821,8-10002935,0,0,0,"",0,"",0,"",0
8-10015822,"",0,0,0,"",0,"",0,"",0
8-10015823,"",0,0,0,"",0,"",0,"",0
8-10015824,"",0,0,0,"",0,"",0,"",0
8-10015825,"",0,0,0,"",0,"",0,"",0
8-10015826,"",0,0,0,"",0,"",0,"",0
8-10015827,"",0,0,0,"",0,"",0,"",0
8-10015828,"",0,0,0,"",0,"",0,"",0
8-10015829,"",0,0,0,"",0,"",0,"",0
8-10015830,"",0,0,0,"",0,"",0,"",0
8-10015831,"",0,0,0,"",0,"",0,"",0
8-10015832,"",0,0,0,"",0,"",0,"",0
8-10015833,"",0,0,0,"",0,"",0,"",0
8-10015834,"",0,0,0,"",0,"",0,"",0
8-10015835,"",0,0,0,"",0,"",0,"",0
8-10015836,"",0,0,0,"",0,"",0,"",0
8-10015837,"",0,0,0,"",0,"",0,"",0
8-10015839,"",0,0,0,"",0,"",0,"",0
8-10015841,"",0,0,0,"",0,"",0,"",0
8-10015842,"",0,0,0,"",0,"",0,"",0
8-10015843,"",0,0,0,"",0,"",0,"",0
8-10015844,8-10003416,0,0,0,"",0,"",0,"",0
8-10015845,"",0,0,0,"",0,"",0,"",0
8-10015846,"",0,0,0,"",0,"",0,"",0
8-10015847,"",0,0,0,"",0,"",0,"",0
8-10015848,"",0,0,0,"",0,"",0,"",0
8-10015849,"",0,0,0,"",0,"",0,"",0
8-10015850,"",0,0,0,"",0,"",0,"",0
8-10015851,"",0,0,0,"",0,"",0,"",0
8-10015852,"",0,0,0,"",0,"",0,"",0
8-10015853,"",0,0,0,"",0,"",0,"",0
8-10015854,"",0,0,0,"",0,"",0,"",0
8-10015855,"",0,0,0,"",0,"",0,"",0
8-10015856,"",0,0,0,"",0,"",0,"",0
8-10015858,"",0,0,0,"",0,"",0,"",0
8-10015859,"",0,0,0,"",0,"",0,"",0
8-10015860,"",0,0,0,"",0,"",0,"",0
8-10015861,"",0,0,0,"",0,"",0,"",0
8-10015862,"",0,0,0,"",0,"",0,"",0
8-10015863,"",0,0,0,"",0,"",0,"",0
8-10015864,"",0,0,0,"",0,"",0,"",0
8-10015865,"",0,0,0,"",0,"",0,"",0
8-10015866,"",0,0,0,"",0,"",0,"",0
8-10015867,"",0,0,0,"",0,"",0,"",0
8-10015868,"",0,0,0,"",0,"",0,"",0
8-10015869,"",0,0,0,"",0,"",0,"",0
8-10015870,8-10001951,0,0,0,"",0,"",0,"",0
8-10015872,"",0,0,0,"",0,"",0,"",0
8-10015873,"",0,0,0,"",0,"",0,"",0
8-10015874,"",0,0,0,"",0,"",0,"",0
8-10015875,"",0,0,0,"",0,"",0,"",0
8-10015876,"",0,0,0,"",0,"",0,"",0
8-10015877,"",0,0,0,"",0,"",0,"",0
8-10015878,"",0,0,0,"",0,"",0,"",0
8-10015879,"",0,0,0,"",0,"",0,"",0
8-10015880,"",0,0,0,"",0,"",0,"",0
8-10015881,"",0,0,0,"",0,"",0,"",0
8-10015882,"",0,0,0,"",0,"",0,"",0
8-10015883,"",0,0,0,"",0,"",0,"",0
8-10015885,"",0,0,0,"",0,"",0,"",0
8-10015886,"",0,0,0,"",0,"",0,"",0
8-10015887,"",0,0,0,"",0,"",0,"",0
8-10015888,"",0,0,0,"",0,"",0,"",0
8-10015889,"",0,0,0,"",0,"",0,"",0
8-10015890,"",0,0,0,"",0,"",0,"",0
8-10015891,"",0,0,0,"",0,"",0,"",0
8-10015892,"",0,0,0,"",0,"",0,"",0
8-10015893,"",0,0,0,"",0,"",0,"",0
8-10015894,"",0,0,0,"",0,"",0,"",0
8-10015895,"",0,0,0,"",0,"",0,"",0
8-10015896,"",0,0,0,"",0,"",0,"",0
8-10015897,"",0,0,0,"",0,"",0,"",0
8-10015898,"",0,0,0,"",0,"",0,"",0
8-10015899,"",0,0,0,"",0,"",0,"",0
8-10015900,"",0,0,0,"",0,"",0,"",0
8-10015901,"",0,0,0,"",0,"",0,"",0
8-10015902,8-10001952,0,0,0,"",0,"",0,"",0
8-10015903,"",0,0,0,"",0,"",0,"",0
8-10015904,"",0,0,0,"",0,"",0,"",0
8-10015905,"",0,0,0,"",0,"",0,"",0
8-10015906,"",0,0,0,"",0,"",0,"",0
8-10015907,"",0,0,0,"",0,"",0,"",0
8-10015908,"",0,0,0,"",0,"",0,"",0
8-10015909,"",0,0,0,"",0,"",0,"",0
8-10015910,"",0,0,0,"",0,"",0,"",0
8-10015911,"",0,0,0,"",0,"",0,"",0
8-10015912,"",0,0,0,"",0,"",0,"",0
8-10015913,"",0,0,0,"",0,"",0,"",0
8-10015914,8-10000207,0,0,0,"",0,"",0,"",0
8-10015915,"",0,0,0,"",0,"",0,"",0
8-10015917,"",0,0,0,"",0,"",0,"",0
8-10015918,"",0,0,0,"",0,"",0,"",0
8-10015919,"",0,0,0,"",0,"",0,"",0
8-10015920,"",0,0,0,"",0,"",0,"",0
8-10015921,"",0,0,0,"",0,"",0,"",0
8-10015922,"",0,0,0,"",0,"",0,"",0
8-10015923,"",0,0,0,"",0,"",0,"",0
8-10015925,"",0,0,0,"",0,"",0,"",0
8-10015926,8-10001955,0,0,0,"",0,"",0,"",0
8-10015927,8-10001953,0,0,0,"",0,"",0,"",0
8-10015928,"",0,0,0,"",0,"",0,"",0
