Lookup ID,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges
1145,"",7,5250,1000,11/8/2018,50,5/12/2015,0,11/8/2018,5000
1293,"",7,13000,2500,3/15/2020,1000,12/29/2016,2500,9/15/2020,52000
14,"",7,15050,5000,4/22/2015,250,5/24/2011,2800,11/16/2019,7200
141,8-10002057,7,896,225,5/14/2015,100,5/7/2013,100,10/24/2019,750
1750,8-10002113,7,5600,1000,3/31/2020,500,12/2/2014,0,3/31/2020,5000
20,"",7,350,100,5/29/2012,50,5/24/2011,50,12/23/2019,0
2030,"",7,900,200,5/14/2018,100,5/6/2014,0,5/14/2018,500
2223,"",7,2725,1000,12/30/2019,500,12/31/2014,1000,4/30/2020,5000
532,8-10000186,7,8500,2500,4/27/2017,500,5/23/2012,2500,4/27/2017,0
758,"",7,1350,500,5/6/2014,100,5/7/2013,100,10/24/2019,0
8-10012431,"",7,2779.4,500,12/3/2018,500,9/6/2016,244.2,10/30/2019,4985.2
8-10013833,"",7,700,100,12/31/2019,100,7/6/2016,100,12/31/2019,600
932,"",7,11000,5000,5/6/2014,1000,2/10/2013,1000,5/9/2019,9000
1038,"",6,6445.81,5000,3/17/2015,1000,5/6/2014,42.45,7/30/2016,0
1105,"",6,950,250,12/30/2017,200,5/6/2014,0,12/31/2018,750
1691,"",6,6000,1000,12/16/2019,1000,4/22/2015,1000,12/16/2019,10000
1760,"",6,700,200,5/19/2015,200,5/19/2015,0,5/11/2018,500
1795,"",6,6000,1000,12/31/2017,1000,5/6/2014,0,12/31/2017,5000
1809,"",6,300,50,5/7/2018,50,5/6/2014,50,5/7/2018,250
1868,"",6,1350,250,11/16/2017,250,5/6/2014,100,11/27/2018,0
2014,"",6,1500,250,6/13/2018,250,5/21/2014,250,6/13/2018,1250
2016,"",6,1750,500,5/19/2015,500,5/19/2015,250,4/3/2020,1750
2201,"",6,5500,1000,12/29/2018,1000,12/31/2014,0,12/29/2018,5000
2226,"",6,1500,500,12/31/2017,100,12/30/2014,200,12/19/2018,0
44,8-10000401,6,350300,175000,10/21/2014,50000,12/13/2012,300,3/10/2015,0
547,"",6,9000,4000,5/26/2015,4000,5/26/2015,1000,3/15/2020,11000
661,"",6,12195.5,5340.5,3/8/2019,500,12/9/2014,4855,11/26/2019,500
8-10007841,"",6,30535,21535,11/18/2015,21535,11/18/2015,1000,4/10/2020,5000
8-10017813,"",6,600,100,12/21/2018,100,11/2/2016,0,12/21/2018,500
8-10020560,"",6,515,200,11/1/2019,40,4/27/2017,200,11/1/2019,0
8-10026013,"",6,499.98,83.33,3/24/2020,83.33,10/25/2019,83.33,9/24/2020,5000
8-10045260,"",6,499.98,83.33,3/24/2020,83.33,10/25/2019,83.33,9/24/2020,5000
8-10047557,"",6,499.98,83.33,3/24/2020,83.33,10/25/2019,83.33,7/24/2020,5000
8-10047762,"",6,240,40,3/24/2020,40,10/25/2019,40,9/24/2020,2400
89,"",6,5274,4000,5/6/2014,24,6/7/2013,100,12/31/2019,5000
1125,"",5,1200,500,5/6/2014,100,5/7/2013,250,11/13/2015,1000
1164,"",5,900,500,5/7/2013,500,5/7/2013,100,10/25/2016,100
1170,"",5,150,50,12/31/2019,25,5/6/2014,50,12/31/2019,0
1269,"",5,600,200,9/9/2014,200,9/9/2014,100,9/21/2017,500
1324,"",5,6000,2000,10/16/2014,2000,10/16/2014,0,11/9/2016,4000
1512,"",5,5100,2000,5/14/2015,100,5/14/2015,1500,12/26/2017,5000
