LOOKUP ID
8-10028266
8-10019343
8-10015575
8-10014135
8-10044659
8-10032799
8-10031337
8-10018211
8-10019447
8-10004880
8-10010139
8-10053083
8-10031814
8-10031711
8-10045077
8-10049667
8-10005902
8-10044716
8-10039985
8-10019852
8-10032136
8-10005643
8-10039582
8-10052876
8-10042301
8-10023194
8-10019601
8-10044078
8-10053278
8-10040340
8-10026069
8-10036812
8-10050048
8-10040790
8-10012883
8-10012507
8-10028868
8-10039288
8-10027804
8-10021405
1968
8-10018582
8-10032179
8-10007728
8-10043379
8-10031809
8-10052286
8-10053566
8-10014878
8-10019900
8-10039754
8-10019704
8-10032199
8-10030422
8-10005810
8-10053420
8-10038682
535
8-10036234
8-10046903
8-10025409
8-10026602
8-10034506
8-10043727
8-10027103
8-10045290
8-10052824
8-10020842
8-10011547
8-10025772
8-10027828
8-10041765
8-10051696
8-10030435
8-10006324
8-10031782
8-10038838
8-10017641
8-10019355
8-10028064
8-10053619
8-10052375
8-10026973
8-10031997
8-10052472
8-10032200
8-10022831
8-10012633
8-10034368
8-10005263
8-10011294
8-10052215
8-10018515
8-10053303
8-10030922
8-10020229
8-10014657
8-10014658
8-10034473
8-10048424
8-10021487
2122
8-10051118
8-10024878
1849
8-10011645
8-10027420
8-10034763
8-10046335
8-10052098
8-10026816
8-10032545
8-10052702
8-10032410
8-10022419
8-10020177
8-10022418
8-10022464
8-10026550
8-10030128
8-10033109
8-10044940
8-10046504
8-10051753
8-10038490
8-10044753
8-10023222
8-10033361
8-10026033
1060
8-10014450
8-10013070
8-10019382
8-10032325
8-10053196
8-10021810
8-10025614
8-10036810
8-10032074
8-10052298
8-10019254
8-10040031
8-10052790
8-10052885
8-10012588
8-10032606
8-10021858
8-10003540
8-10052939
8-10011276
8-10051930
8-10004182
8-10038865
8-10048510
8-10036105
8-10050541
8-10052306
8-10003557
8-10031940
8-10006079
8-10031767
8-10053021
8-10015648
1726
2119
8-10022423
8-10041052
8-10027516
1507
1566
2296
8-10052995
206
1062
8-10005806
8-10028462
8-10031882
8-10040861
8-10041394
8-10049894
8-10053790
1544
8-10052312
8-10044397
955
8-10045446
8-10019604
8-10019666
8-10030198
8-10006393
8-10000066
8-10019814
8-10032331
8-10043001
8-10011510
8-10031460
8-10031811
8-10040114
8-10019937
8-10037076
8-10043351
8-10001558
8-10020946
8-10052204
8-10024041
8-10041420
8-10032189
8-10015461
8-10025479
8-10013492
8-10037253
8-10045002
518
8-10042466
8-10016295
8-10019372
8-10011249
8-10005724
8-10005730
8-10043290
8-10045680
8-10021188
8-10021263
8-10031902
8-10049926
8-10039631
8-10022614
8-10032186
8-10052955
8-10010168
8-10053855
8-10018306
8-10011619
8-10031450
8-10042821
8-10018516
8-10040002
8-10017628
8-10019140
8-10038347
8-10028994
8-10043885
8-10020463
8-10004020
8-10047728
8-10012716
8-10052713
8-10005364
8-10039890
8-10030143
8-10040437
8-10052569
8-10028958
8-10042266
8-10028771
8-10025377
8-10031044
8-10003824
8-10028463
8-10044475
8-10046657
8-10022435
8-10026915
8-10052946
8-10019207
8-10039930
8-10042641
8-10019590
8-10024518
8-10051287
8-10030070
8-10027468
8-10022304
139
634
8-10023823
8-10025476
8-10004562
8-10005568
8-10051471
8-10042819
8-10003606
8-10019339
8-10018435
8-10032121
8-10032203
8-10043218
8-10045787
8-10016148
8-10019857
8-10032204
8-10036330
8-10020302
8-10017128
8-10020751
8-10027685
8-10013721
240
8-10041587
8-10035508
8-10011941
8-10013342
8-10020617
8-10025233
8-10026122
8-10046755
8-10052236
8-10013120
8-10022769
8-10013317
950
8-10024414
8-10031947
8-10039226
8-10045748
8-10024066
8-10052617
842
8-10005780
8-10041932
8-10044742
8-10039467
8-10051261
8-10021526
8-10018473
8-10015078
8-10023359
8-10036837
8-10003585
8-10030142
8-10011881
8-10050946
8-10032205
8-10040375
8-10027035
8-10027081
8-10022593
8-10022049
8-10051281
8-10004101
8-10004102
8-10046922
8-10017498
8-10029599
8-10032152
8-10032320
8-10005313
8-10024126
8-10031774
8-10028475
8-10032517
8-10023616
8-10027231
8-10034977
8-10031763
8-10004961
8-10033359
8-10052721
